, --,Nombre común,Clase,Otros_nombres,Nombre_cientifico,Familia,Fuente,,Estatus,,Codigo_Estatus,Origen,En Zarauz,
,33,Amapola silvestre,Hierba,Amapola común,Papaver rhoeas,Papaveraceae,Referencia,https://colombia.inaturalist.org/taxa/54404-Papaver-rhoeas,,,Cultivada,Europa y Asia,,
,34,Amaranto rojo,Hierba,,Iresine diffusa f. herbstii,Amaranthaceae,Referencia,https://colombia.inaturalist.org/taxa/914138-Iresine-diffusa-herbstii,,,Nativa,Neotrópico,,
,35,Amarrabollo,Árbol,,Merania nobilis Triana,Melastomataceae,Referencia,https://identify.plantnet.org/es/the-plant-list/species/Meriania%20nobilis%20Triana/data,,,Nativa,Andes,,
,36,Anís,"Hierba, aromática",,Tagetes lucida,Asteraceae,Referencia,https://es.wikipedia.org/wiki/Tagetes_lucida,,,Cultivada,México y Guatemala,,
,37,Anturio ,Hierba,,Anthurium andraeanum,Araceae,Referencia,https://colombia.inaturalist.org/taxa/69235-Anthurium-andraeanum,,,Nativa,"Colombia, Ecuador ",,
,38,Aralia,Arbusto,fFatsia,Fatsia japonica,Araliaceae,Referencia,https://www.citysens.com/es/comprar-plantas-temporada/316-fatsia-japonica-aralia.html,,,Cultivada,Japón,,
,39,Arándano azul,Arbusto,,Vaccinium corymbosum,Ericaceae,Referencia,https://nombrescomunes.jbb.gov.co/site/cientifico?q=vaccinium,,,Nativa,"Colombia, Perú",,
,40,Arboloco,Árbol,,Smallanthus pyramidalis,Asteraeae,Referencia,https://identify.plantnet.org/es/the-plant-list/species/Smallanthus%20pyramidalis%20(Triana)%20H.Rob./data,,,Nativa,"Coloimbia, Venezuela, Ecuador",,
,41,Arcángel amarillo,Hierba,,Lamium galeobdolon,Lamiaceae,Referencia,http://www.consultaplantas.com/index.php/es/fichas-de-plantas-de-la-d-a-la-l/849-koelreuteria-paniculata-jabonero-chino-sapindal.html,,,Cultivada,Eurasia,,C3
,42,Aretillo,Arbusto,Aretillo suramericano,Fuchsia magellanica,Onagraceae,Referencia,https://colombia.inaturalist.org/taxa/163112-Fuchsia-magellanica,,,Naturalizada,"Chile, Argentina",,E1
,43,Arrayán,Arbusto,,Myrcia cucullata,Myrtaceae,Referencia,https://nombrescomunes.jbb.gov.co/site/cientifico?q=Myrcia+cucullata,,,Endémica,Colombia (cordillera oriental),,
,44,Arrayán blanco,Árbol,Arrayán común,Myrcianthes leucoxyla,Myrtaceae,Referencia,https://catalogofloravalleaburra.eia.edu.co/species/259,,,Nativa,"Colombia, Venezuela",,
,45,Arrayán guayabo,Árbol,,Syzygium polyanthum,Myrtaceae,Referencia,https://colombia.inaturalist.org/taxa/199425-Syzygium-polyanthum,,,Nativa,"Colombia, Perú",,
,46,Arrayán negro,Arbusto,,Myrcianthes rhopaloides,Myrtaceae,Referencia,https://colombia.inaturalist.org/taxa/542055-Myrcianthes-rhopaloides,,,Nativa,Colombia a Bolivia,,
,47,Ave del paraíso,Hierba,,Strelitzia reginae,Strelitziaceae,Referencia,https://ecuador.inaturalist.org/taxa/49143-Strelitzia-reginae,,,Cultivada,Suráfrica,,
,48,Azalea,Arbusto,,Rhododendron simsii,Ericaceae,Referencia,https://colombia.inaturalist.org/taxa/410380-Rhododendron-simsii,,,Cultivada,China,,
,49,Azucena blanca,Hierba,,Lilium candidum,Liliaceae,Referencia,https://colombia.inaturalist.org/taxa/223666-Lilium-candidum,,,Cultivada,"Siria, Palestina",,
,50,Balazo,"Hierba, trepadora",,Monstera deliciosa,Araceae,Referencia,https://colombia.inaturalist.org/taxa/122521-Monstera-deliciosa,,,Cultivada,México a Costa Rica,,
,51,Bálsamo azul,Suculenta,Senecio azul,Curio repens,Asteraceae,Referencia,https://es.wikipedia.org/wiki/Curio_repens,,,Cultivada,Suráfrica,,
,52,Barba de viejo,"Hierba, epìfita, terrestre",Musgo español,Tillandsia usneoides,Bromeliaceae,Referencia,https://colombia.inaturalist.org/taxa/49569-Tillandsia-usneoides,,,Nativa,América tropical,,
,53,Begonia,Hierba,,Begonia multinervia,Begoniaceae,Referencia,https://colombia.inaturalist.org/taxa/1039469-Begonia-minor,,,Cultivada,Jamaica,,
,54,Bellahelena gigante,Hierba,China gigante,Impatiens sodenii,Balsaminaceae,Referencia,https://identify.plantnet.org/es/the-plant-list/species/Impatiens%20sodenii%20Engl.%20%26%20Warb./data,,,Cultivada,"Kenya, Tanzania",,
,55,Bellahelena guinea,Hierba,Guinea,Impatiens walleriana,Balsaminaceae,Referencia,https://colombia.inaturalist.org/taxa/68185-Impatiens-walleriana,,,Cultivada,O Africa,,
