, --,Nombre común,Clase,Otros_nombres,Nombre_cientifico,Familia,Fuente,,Estatus,,Codigo_Estatus,Origen,En Zarauz,
,145,Epidendro,Orquídea,,Epidendrum porphyreum Lindl. ,Orchidaceae,Referencia,https://identify.plantnet.org/es/the-plant-list/species/Epidendrum%20porphyreum%20Lindl./data,,,Nativa,Andes ,,
,146,Escalonia,Arbusto,,Escallonia rubra,Escalloniaceae,Referencia,https://colombia.inaturalist.org/guide_taxa/1034783,,,Cultivada,"Chile, Argentina",,
,147,Espinaca,Hierba,,Spinacia oleracea,Amaranthaceae,Referencia,https://www.naturalista.mx/taxa/84092-Spinacia-oleracea,,,Cultivada,Mediterráneo,,
,148,Estrella de belén,Hierba,,Ornithogalum thyrsoides,Asparagaceae,Referencia,https://colombia.inaturalist.org/taxa/276978-Ornithogalum-thyrsoides,,,Cultivada,Suráfrica,,
,149,Estrellitas,Hierba,,Galinsoga quadriradiata,Asteraceae,Referencia,https://colombia.inaturalist.org/taxa/56170-Galinsoga-quadriradiata,,,Nativa,E.U. a Brasil,,C5
,150,Eucalipta,Árbol,Ecucalipto Baby Blue,Eucalyptus pulverulenta,Mirtáceas,Referencia,https://ecuador.inaturalist.org/taxa/64294-Eucalyptus-pulverulenta,,,Cultivada,Australia,,
,151,Eucalipto,Árbol,,Eucalyptus globulus,Mirtáceas,Referencia,https://colombia.inaturalist.org/guide_taxa/786719,,,Cultivada,Australia,,
,152,Eugenia,Arbolito,Cerezo magenta,Syzygium paniculatum,Myrtaceae,Referencia,https://catalogofloravalleaburra.eia.edu.co/species/276,,,Cultivada,Australia,,
,153,Falso pimiento,Árbol,Muelle,Schinus molle,Anacardiaceae,Referencia,https://colombia.inaturalist.org/taxa/57354-Schinus-molle,,,Naturalizada,Perú y Bolivia,,
,154,Falso plátano,Hierba,,Ensete ventricosum,Musaceae,Referencia,https://colombia.inaturalist.org/taxa/140998-Ensete-ventricosum,,,Cultivada,África,,
,155,Feijoa,Arbusto,,Acca sellowiana,Myrtaceae,Referencia,https://colombia.inaturalist.org/taxa/181074-Acca-sellowiana,,,Nativa,Suramérica,,"C5
P"
,156,Filodendro,Hierba,Mano de tigre,Philodendron bipinnatifidum,Araceae,Referencia,https://colombia.inaturalist.org/taxa/63720-Philodendron-bipinnatifidum,,,Cultivada,"Brasil, Bolivia, Argentina, Paraguay",,
,157,Fitolaca,Hierba,,Phytolacca bogotensis,Phytolaccaceae,Referencia,https://www.jardineriaon.com/phytolacca-americana.html,,,Nativa,Colombia a Argentina,,
,158,Fitonia,Hierba,,Fittonia albivenis,Acanthaceae,Referencia,https://es.wikipedia.org/wiki/Fittonia,,,Nativa y cultivada,"Amazonia, Pacífico",,
,159,Flor celeste,Arbusto,Duranta variegada,Duranta repens variegata,Verbenaceae,Referencia,https://mygarden.com.co/product/duranta-variegada-2/,,,Nativa,Estados Unidos a Argentina,,
,160,Flor de cera,Enredadera,,Thunbergia grandiflora,Acanthaceae,Referencia,https://colombia.inaturalist.org/taxa/129036-Thunbergia-grandiflora,,,Cultivada,India y SE Asia,,
,161,Flor de Cristo,Orquídea,,Epidendrum secundum ,Orchidaceae,Referencia,https://ecuador.inaturalist.org/taxa/130068-Epidendrum-secundum,,,Nativa,"Andes, Antillas, Brasil",,
,162,Flor de mayo,"Arbusto, arbolito, árbol",,Tibouchina mollis,Melastomataceae,Referencia,https://colombia.inaturalist.org/taxa/545542-Tibouchina-mollis,,,Nativa,"Colombia, Ecuador, Perú",,
,163,Flor de sangre,Hierba,,Scadoxus multiflorus,Amaryllidaceae,Referencia,https://es.wikipedia.org/wiki/Scadoxus,,,Cultivada,África y penínsuyla arábiga,,
,164,Fotinia,Árbol,,Photinia glabra,Rosaceae,Referencia,https://ecuador.inaturalist.org/taxa/166738-Photinia-glabra,,,Cultivada,China,,
,165,Frangipán,"Árbusto, arbolito, árbol",,Plumeria rubra,Apocynaceae,Referencia,https://colombia.inaturalist.org/observations/227004755,,,Nativa,México a Venezuela y Perú,,
,166,Fríjol egipcio,Enredadera,Fríjol jacinto,Lablab purpureus,Fabaceae,Referencia,https://jbb.gov.co/lablab-purpureus/,,,Cultivada,"Egipto, India",,
,167,Fucsia,Arbusto,,Fuchsia hybrida,Onagraceae,Referencia,https://www.ecured.cu/Fucsia_(Planta),,,Cultivada,Neotrópico,,
,168,Fucsia arbórea mosqueta,Arbusto,Achiotillo,Fuchsia paniculata,Onagraceae,Referencia,https://identify.plantnet.org/es/the-plant-list/species/Fuchsia%20paniculata%20Lindl./data,,,Cultivada,México a Panamá,,
,169,Fucsia boliviana,Arbusto,Aretillo de los Andes,Fuchsia boliviana,Onagraceae,Referencia,https://identify.plantnet.org/es/the-plant-list/species/Fuchsia%20boliviana%20Carri%C3%A8re/data,,,Naturalizada,Perú a Argentina,,"C3
C4
N1"
,170,Gaque,Arbolito,"Chagualo
Cape",Clusia multiflora,Clusiaceae,Referencia,https://colombia.inaturalist.org/taxa/154532-Clusia-multiflora,,,Nativa,Costa Rica a Bolivia,,
,171,Gazania,Hierba,,Gazania pectinata,Asteraceae,Referencia,https://en.wikipedia.org/wiki/Gazania_pectinata,,,Cultivada,Suráfrica,,
,172,Geranio  ,Hierba,,Pelargonium hortorum,Geraniaceae,Referencia,https://www.elmundoforestal.com/portfolio/geranio/,,,Cultivada,Suráfrica,,"E1
L"
,173,Geranio hiedra,Hierba,,Pergalonium peltatum,Geraniaceae,Referencia,http://www.consultaplantas.com/index.php/es/plantas-por-nombre/plantas-de-la-m-a-la-r/1327-cuidados-de-la-planta-pelargonium-peltatum-o-geranio-hiedra#google_vignette,,,Cultivada,Suráfrica,,
,174,Girasol,Hierba,,Helianthus annuus,Asteraceae,Referencia,https://www.naturalista.mx/taxa/57983-Helianthus-annuus,,,Cultivada,México a Argentina,,
,175,Globitos,Hierba,Clavelina de mar,Armeria maritima,Plumbaginaceae,Referencia,https://plantayflor.blogspot.com/2011/04/armeria-maritima.html,,,Cultivada,Europa,,
,176,Granadilla,"Hierba, trepadora",Flor de la pasión,Passiflora alata,Passifloraceae,Referencia,https://es.wikipedia.org/wiki/Passiflora_alata,,,Cultivada,Brasil ,,E1
,177,Graptoveria,Suculenta,Dudleya,Graptoveria Fred Ives,Crassulaceae,Referencia,https://www.gardenia.net/plant/graptoveria-fred-ives,,,Cultivada,Islas Canarias,,
,178,Guatila,Trepadora,"Cidra,  Papa de pobre
Guayote, Guasca",Sechium edule ,Cucurbitaceae,Referencia,https://colombia.inaturalist.org/taxa/125147-Sechium-edule,,,Naturalizada,México+América tropical,,EP
,179,Guayabo amarillo,Árbol,Arrayán,Psidium sartorianum,Myrtaceae,Referencia,https://ecuador.inaturalist.org/taxa/209980-Psidium-sartorianum,,,Nativa,México a Bolivia,,
,180,Guayacán azul,Bonsai,,Guaiacum officinale,Zygophyllaceae,Referencia,https://www.car.gov.co/uploads/files/60d37ace17011.pdf,,,Nativa y amenazada,Centioamérica y N Suramérica,,
,181,Guayacán de Manizales,Árbol,,Lafoensia acuminata,Lythraceae,Referencia,https://nombrescomunes.jbb.gov.co/site/combinacion?q=1095,,,Nativa,Colombia a Perú,,
,182,Guzmania,"Hierba, epífita, terrestre",,Guzmania lingulata,Bromeliaceae,Referencia,https://colombia.inaturalist.org/taxa/276734-Guzmania-lingulata,,,Nativa,Amñerica tropical,,
,183,Hayuelo,Arbusto,,Dodonaea viscosa,Sapindaceae,Referencia,https://colombia.inaturalist.org/taxa/122711-Dodonaea-viscosa,,,Nativa,Zonas tropicales del mundo,,
,184,Hayuelo morado,Arbusto,Chirca púrpura,Dodonaea viscosa purpurea,Sapindaceae,Referencia,https://www.unjardinsostenible.com/2019/11/dodonaea-viscosa-purpura-dodonea.html,,,Nativa,Zonas tropicales del mundo,,
,185,Hebe,Arbusto,Verónica,Hebe speciosa,Plantaginaceae,Referencia,http://www.consultaplantas.com/index.php/es/plantas-por-nombre/plantas-de-la-d-a-la-l/404-cuidados-de-la-planta-hebe-speciosa-hebe-o-veronica,,,Cultivada,Nueva Zelanda,,
,186,Helecho común,Hierba,Cabeza de chivo,Dryopteris wallichiana,Dryopteridaceae,Referencia,https://identify.plantnet.org/es/the-plant-list/species/Dryopteris%20wallichiana%20(Spreng.)%20Hyl./data,,,Nativa," Cenbroamérica, Suramérica, Antillas, Asia, Oceanía",,
,187,Helecho espárrago,Hierba,Esparraguera,Asparagus densiflorus Kunth,Asparagaceae,Referencia,https://www.picturethisai.com/es/wiki/Asparagus_aethiopicus.html,,,Cultivada,Suráfrica,,
,188,Helecho giboso,Hierba,,Oceanopteris gibba,Blechnaceae,Referencia,https://www.gbif.org/es/species/9348436,,,Cultivada,Suráfrica,,
,189,Helecho marranero,Hierba,,Pteridium aquilinum,Dennstaedtiaceae,Referencia,https://www.car.gov.co/uploads/files/60635eeac4eba.pdf,,,Nativa e invasora,"Centroamérica, Suramérica, Antillas",,
,190,Helecho perejil,Hierba,,Asplenium praemorsum,Aspleniaceae,Referencia,https://colombia.inaturalist.org/taxa/158795-Asplenium-praemorsum,,,Nativa,México y Antillas a NO Suramérica,,
,191,Helecho serrucho,Hierba,,Nephrolepis cordifolia,Nephrolepidaceae,Referencia,https://www.inaturalist.org/guide_taxa/1256700,,,Cultivada,"Neotrópico, Aia, Oceanía",,
,192,Heliotropo,Arbusto,,Heliotropium arborescens,Boraginaceae,Referencia,https://ecuador.inaturalist.org/taxa/135430-Heliotropium-arborescens,,,Cultivada,Perú a Chile,,
,193,Hiedra común,Trepadora,Hiedra helix,Hedera helix,Araliaceae,Referencia,https://colombia.inaturalist.org/taxa/55882-Hedera-helix,,,Cultivada,Europa,,
,194,Hiedra terrestre,"Hierba, rastrera",,Glechoma hederacea,Lamiaceae,Referencia,https://colombia.inaturalist.org/taxa/55830-Glechoma-hederacea,,,Cultivada,"Europa, Asia, Norteamèrica",,N1
,195,Hierba carnicera,Hierba,,Conyza canadiensis,Asteraceae,Referencia,https://es.wikipedia.org/wiki/Conyza_canadensis,,,Adventicia,"Norteamérica, Suramérica, Europa, S África",,
,196,Hierba mora,Hierba,,Solanum americanum,Solanaceae,Referencia,https://es.wikipedia.org/wiki/Archivo:Solanum_americanum_(Solanaceae).jpg,,,Nativa,Canadá a Guayanas y Bolivia,,
,197,Hierba cana,Hierba,Glabella,Packera glabella,Asteraceae,Referencia,https://ecuador.inaturalist.org/taxa/54921-Packera-glabella,,,Cultivada,SE Estados Unidos y centroamérica,,
,198,Hierbabuena,"Hierba, aromática",,Mentha spicata,Lamiaceae,Referencia,https://identify.plantnet.org/es/the-plant-list/species/Mentha%20spicata%20L./data,,,Cultivada,Europa,,
,199,Higuerilla,Arbusto,,Ricinus communis,Euphorbiaceae,Referencia,https://colombia.inaturalist.org/taxa/56739-Ricinus-communis,,,Naturalizada,África,,
,200,Higuerón,Árbol,"Higuera blanca, caucho",Ficus insipida,Moraceae,Referencia,https://colombia.inaturalist.org/taxa/273850-Ficus-insipida,,,Nativa,América tropical,,
,201,Hinojo,"Hierba, aromática",,Foeniculum vulgare,Apiaceae,Referencia,https://spain.inaturalist.org/taxa/53052-Foeniculum-vulgare,,,Cultivada,Mediterráneo,,
,202,Holcus lanatus,Hierba,Pasto de terciopelo,Holcus lanatus,Poaceae,Referencia,https://ecuador.inaturalist.org/taxa/52793-Holcus-lanatus,,,Naturalizada,Cosmopolita,,
,203,Holly espinoso,Arbolito,,Pyracantha angustifolia,Rosaceae,Referencia,https://nombrescomunes.jbb.gov.co/site/combinacion?q=1168,,,Cultivada,China,,
,204,Holly liso,Arbusto,Mortiño extranjero,Cotoneaster pannosus,Rosaceae,Referencia,https://nombrescomunes.jbb.gov.co/site/combinacion?q=1169,,,Cultivada,China,,
,205,Hortensia arbórea,Arbusto,,Hydrangea arborescens ,Hydrangeaceae,Referencia,https://identify.plantnet.org/es/useful/species/Hydrangea%20arborescens%20L./data,,,Cultivada,China,,
,206,Hortensia crespa,Arbusto,,Hydrangea involucrata,Hydrangeaceae,Referencia,https://identify.plantnet.org/es/the-plant-list/species/Hydrangea%20involucrata%20Siebold/data,,,Cultivada,Japón,,
,207,Hortensia de invierno,Arbusto,Hortensia de invierno,Bergenia crassifolia,Saxifragaceae,Referencia,https://colombia.inaturalist.org/taxa/127228-Bergenia-crassifolia,,,Cultivada,Siberia y Mongolia,,
,208,Hortensia holandesa,Arbusto,,Hydrangea macrophylla,Saxifragaceae,Referencia,https://identify.plantnet.org/es/useful/species/Hydrangea%20macrophylla%20(Thunb.)%20Ser./data,,,Cultivada,China,,
,209,Incienso,"Hierba, aromática",,Plectranthus forsteri «Variegata»,Lamiaceae,Referencia,https://plantasflores.com/plectranthus-forsteri-variegata/,,,Cultivada,Asia,,
,210,Inmortal,Hierba,,Helichrysum petiolare,Asteraceae,Referencia,https://colombia.inaturalist.org/taxa/77361-Helichrysum-petiolare,,,Cultivada,Suráfrica,,
,211,Jade,Suculenta,,Crassula ovata,Crassulaceae,Referencia,https://clubsuculentas.com/crassulaceae/crassula/crassula-ovata-arbol-jade/,,,Cultivada,"Mozambique, Suráfrica",,
,212,Jazmín,Árbol,Jazmín del cabo,Pittosporum undulatum,Pittosporaceae,Referencia,https://colombia.inaturalist.org/taxa/51594-Pittosporum-undulatum,,,Cultivada,Australia,,
,213,Jazmín chileno,"Hierba, trepadora",,Mandevilla laxa,Apocynaceae,Referencia,https://www.picturethisai.com/es/wiki/Mandevilla_laxa.html,,,Cultivada,Ecuador a Chile,,C2
,214,Jazmín enredadera,"Hierba, trepadora",Jazmín rosa asiático,Jasminum polyanthum,Oleaceae,Referencia,https://nombrescomunes.jbb.gov.co/site/cientifico?q=Jasminum+polyanthum,,,Cultivada,China y Birmania,,
,215,Jazmín lavanda,Arbusto,Jazmín del Paraguay,Brunfelsia australis,Solanaceae,Referencia,https://ecuador.inaturalist.org/taxa/430749-Brunfelsia-australis,,,Cultivada,Brasil a Argentina,,
,216,Jazmín mexicano,Arbusto,"Clavo, azahar mexicano",Choisya ternata,Rutaceae,Referencia,http://www.consultaplantas.com/index.php/es/plantas-por-nombre/plantas-de-la-a-a-la-c/205-cuidados-de-la-planta-choisya-ternata-choisia-o-naranjo-de-mexico,,,Cultivada,Estados Unidos a México,,
,217,Josefina,"Hierba, trepadora",,Alyogyne huegelii,Malvaceae,Referencia,https://www.naturalista.mx/taxa/75387-Alyogyne-huegelii,,,Cultivada,Australia,,
,218,Kale,Hierba,,Brassica oleracea ssp. sabellica,Brassicaceae,Referencia,https://ecuador.inaturalist.org/taxa/739454-Brassica-oleracea-sabellica,,,Cultivada,Europa,,
,219,Koromiko,Hierba,"Koromiko
Hebe stricta",Hebe salicifolia,Plantaginaceae,Referencia,https://colombia.inaturalist.org/taxa/738800-Veronica-stricta,,,Cultivada,Chile,,
,220,Lachnocaulon,Hierba,,Lachnocaulon anceps,Eriocaulaceae,Referencia,https://ecuador.inaturalist.org/taxa/164402-Lachnocaulon-anceps,,,Cultivada,Norteamérica y Cuba,,
,221,Lantana,Arbusto,Cinco negritos,Lantana camara,Verbenaceae,Referencia,https://colombia.inaturalist.org/taxa/50333-Lantana-camara,,,Nativa,México a Argentina,,
,222,Lantana morada,"Arbusto, trepadora",Verbena rastrera,Lantana fucata,Verbenaceae,Referencia,https://colombia.inaturalist.org/taxa/545679-Lantana-fucata,,,Nativa,"México, Colombia, Uruguay",,
,223,Laurel  ,Árbol,Laurel de castilla,Laurus nobilis,Lauraceae,Referencia,https://colombia.inaturalist.org/taxa/54759-Laurus-nobilis,,,Cultivada,Mediterráneo,,
,224,Laurel de cera,Arbolito,,Morella pubescens,Myricaceae,Referencia,https://ecuador.inaturalist.org/taxa/496289-Morella-pubescens,,,Nativa,Costa Rica a Venezuela y Bolivia,,
,225,Lavanda,Hierba,,Lavandula dentada,Lamiaceae,Referencia,https://es.wikipedia.org/wiki/Lavandula_dentata,,,Cultivada,Mediterráneo,,
,226,Lechuga,Hierba,,Lactuca sativa,Asteraceae,Referencia,https://colombia.inaturalist.org/taxa/122976-Lactuca-sativa,,,Cultivada,Mediterráneo,,
,227,Lengua de cierva,Hierba,Calaguala de Venezuela,Campyloneurum phyllitidis ,Polypodiaceae,Referencia,https://colombia.inaturalist.org/taxa/159779-Campyloneurum-phyllitidis,,,Nativa,Costa Rica a Venezuela y Bolivia,,
,228,Lengua de suegra,Hierba,,Sansevieria trifasciata,Asparagaceae,Referencia,https://nombrescomunes.jbb.gov.co/site/cientifico?q=sanse,,,Cultivada,África,,
,229,Lengua de vaca,Hierba,Lengua de vaca,Rumex obtusifolius,Polygonaceae,Referencia,https://colombia.inaturalist.org/taxa/63371-Rumex-obtusifolius,,,Naturalizada,Europa,,
,230,Lenteja de agua,Planta acuática,,Lemna minuta Kunth,Araceae,Referencia,https://colombia.inaturalist.org/taxa/54518-Lemna-minor,,,Nativa,Colombia a Chile,,
,231,Leucadendro,Arbusto,,Leucadendron salignum,Proteaceae,Referencia,https://www.australianplants.com/plants.aspx?id=1346,,,Cultivada,Suráfrica,,
,232,Licopodio  ,Hierba,,Diphasiastrum thyoides,Lycopodiaceae,Referencia,https://colombia.inaturalist.org/taxa/338819-Diphasiastrum-thyoides,,,Nativa,México a Argentina,,
,233,Licopodio interrumpido,Hierba,,Spinulum annotinum,Lycopodiaceae,Referencia,https://www.picturethisai.com/es/wiki/Spinulum_annotinum.html,,,Cultivada,"Europa, Asia, Norteamérica",,
,234,Ligustro,Árbol,Aligustre,Ligustrum vulgare,Oleaceae,Referencia,https://colombia.inaturalist.org/taxa/77741-Ligustrum-ovalifolium,,,Cultivada,NO África,,
,235,Lima limón,Arbusto,,Citrus limon,Rutaceae,Referencia,https://colombia.inaturalist.org/taxa/498720-Citrus-limon,,,Cultivada,"China, India",,
,236,Limón,Arbusto,,Citrus aurantium,Rutaceae,Referencia,https://nombrescomunes.jbb.gov.co/site/combinacion?q=1273,,,Cultivada,China,,
,237,Limonaria,Hierba,,Cymbopogon citratus,Poaceae,Referencia,https://colombia.inaturalist.org/taxa/123728-Cymbopogon-citratus,,,Cultivada,India y Sri Lanka,,
,238,Lino,Hierba,Lino de Nueva Zelanda,Phormium tenax,Xanthorrhoeaceae,Referencia,https://colombia.inaturalist.org/taxa/51754-Phormium-tenax,,,Cultivada,Nueva Zelanda,,S1
,239,Liquidámbar,Árbol,,Liquidambar styraciflua,Altingiaceae,Referencia,https://colombia.inaturalist.org/taxa/49658-Liquidambar-styraciflua,,,Cultivada,S Estados Unidos,,"C5
S1"
,240,Lirio amarillo,Hierba,Azzucena amarilla,Hemerocallis lilioasphodelus,Asphodelaceae,Referencia,https://colombia.inaturalist.org/taxa/163663-Hemerocallis-lilioasphodelus,,,Cultivada,"China, Corea, Siberia",,
,241,Lirio asiático,Hierba,Lirio asiático,Hemerocallis flava,Xanthorrhoeaceae,Referencia,https://colombia.inaturalist.org/taxa/126583-Hemerocallis-fulva,,,Cultivada,Asia,,
,242,Lirio del Amazonas,Hierba,,Eucharis amazonica,Amaryllidaceae,Referencia,https://diversidadbiologica1upn.wordpress.com/2020/07/24/lirio-de-amazonas-eucharis-amazonica/,,,Nativa,México a Bolivia,,C5
,243,Llama  ,Hierba,Bandera española,Kniphofia uvaria,Asphodelaceae,Referencia,https://colombia.inaturalist.org/taxa/56035-Kniphofia-uvaria,,,Cultivada,Suráfrica,,
,244,Llama de fuego,Suculenta,,Crassulla capitella,Crassulaceae,Referencia,https://clubsuculentas.com/crassulaceae/crassula/crassula-capitella/,,,Cultivada,Suráfrica,,
,245,Llamarada,Arbusto,Bignonia capensis,Tecoma capensis,Bignoniaceae,Referencia,https://species.wikimedia.org/wiki/Tecoma_capensis,,,Cultivada,S Africa,,
,246,Lopatero,Hierba,,Lophatherum gracile,Poaceae,Referencia,https://colombia.inaturalist.org/taxa/427091-Lophatherum-gracile,,,Cultivada,Asia,,
,247,Lulo,Arbusto,Naranjito,Solanum quitoense Lam,Solanacae,Referencia,https://www.ica.gov.co/getattachment/de9f2f66-898a-45b8-848d-0c49a23ca70c/manejo-fitosanitario-del-cultivo-de-lulo-(solanum.aspx,,,Nativa,Nicaragua a Perú,,
,248,Lupino,Arbuto,Altramuz,Lupinus bogotenis,Fabaceae,Referencia,https://colombia.inaturalist.org/taxa/138919-Lupinus-bogotensis,,,Nativa,Colombia a Bolivia,,
,249,Madreselva japonesa,"Arbusto, trepadora",,Lonicera caprifolium Thunb.,Caprifoliaceae,Referencia,https://colombia.inaturalist.org/taxa/51873-Lonicera-caprifolium,,,Cultivada,China y Japón,,
,250,Magnolio,Árbol,,Magnolia grandiflora,Magnoliaceae,Referencia,https://nombrescomunes.jbb.gov.co/site/combinacion?q=1330,,,Cultivada,Cosmopolita,,
,251,Malva,Subarbusto,,Malva arborea,Malvaceae,Referencia,https://es.wikipedia.org/wiki/Malva_arborea,,,Cultivada,Europa y Mediterráneo,,
,252,Mandarino,Arbolito,Mandarina,Citrus reticulata,Rutaceae,Referencia,https://colombia.inaturalist.org/taxa/123355-Citrus-reticulata,,,Cultivada,"China, India",,
,253,Mano de oso,Árbol,,Oreopanax bogotensis,Araliaceae,Referencia,https://colombia.inaturalist.org/taxa/547402-Oreopanax-bogotensis,,,Nativa,Colombia a Ecuador,,
,254,Manto de María,Hierba,,Solanum laxum,Solanaceae,Referencia,https://colombia.inaturalist.org/taxa/128667-Solanum-laxum,,,Cultivada,"Paraguay, Uruguay, Argentina",,
,255,Manzanilla,Hierba,,Chamaemelum nobile,Ateraceae,Referencia,https://spain.inaturalist.org/taxa/143243-Chamaemelum-nobile,,,Adventicia,"Europa, Norteamérica",,
,256,Manzano,Arbusto,,Malus pumila,Rosaceae,Referencia,https://ecuador.inaturalist.org/taxa/77949-Malus-pumila,,,Cultivada,Cosmopolita,,
,257,Marchantia,"Hepática, acuática","Empeine
Hepática de las fuentes",Marchantia polymorpha,Lophocoleaceae,Referencia,https://colombia.inaturalist.org/taxa/56406-Marchantia-polymorpha,,,Nativa,Cosmopolita,,
,258,Margarita  ,Hierba,,Leucanthemum vulgare,Asteraceae,Referencia,https://colombia.inaturalist.org/taxa/56057-Leucanthemum-vulgare,,,Cultivada,Eurasia,,
,259,Margarita agerantemo,Hierba,"Margarita leñosa, margarita de las islas Canarias",Argyranthemum frutescens,Asteraceae,Referencia,https://colombia.inaturalist.org/taxa/181635-Argyranthemum-frutescens,,,Cultivada,"África, Europa",,
,260,Margarita amarilla,Hierba,Margarita chispita,Euryops chrysanthemoides,Asteraceae,Referencia,https://colombia.inaturalist.org/taxa/162895-Euryops-chrysanthemoides,,,Cultivada,S Africa,,
,261,Margarita cimarrona,Hierba,Marimonia,Erigeron karvinskianus,Asteraceae,Referencia,https://colombia.inaturalist.org/taxa/76923-Erigeron-karvinskianus,,,Adventicia,,,
,262,Margarita punto azul,Hierba,Caléndula del Cabo,Dimorphotheca ecklonis,Asteraceae,Referencia,https://colombia.inaturalist.org/taxa/76660-Dimorphotheca-ecklonis,,,Cultivada,Suráfrica,,
,263,Margaritón,Hierba,Margarita reina,Leucanthemum maximum,Asteraceae,Referencia,https://www.picturethisai.com/es/wiki/Leucanthemum_maximum.html,,,Cultivada,Europa,,
,264,Marihuana,,,Cannabis sativa,Cannabaceae,Referencia,https://colombia.inaturalist.org/taxa/75997-Cannabis-sativa,,,Cultivada,Himalaya,,
,265,Mármol mediterráneo,Hierba,Cineraria,Jacobaea maritima,Asteraceae,Referencia,https://colombia.inaturalist.org/taxa/357682-Jacobaea-maritima,,,Cultivada,Mediterráneo,,E1
,266,Masdevalia-hirtzii,Orquídea,,Masdevallia-hirtzii,Orchidaceae,Referencia,https://www.orchidroots.com/detail/100133360/hybrid/?tab=sum,,,Nativa,Ecuador y Colombia,,
,267,Matatósigo,Hierba,,Vincetoxicum hirundinaria,Apocynaceae,Referencia,https://es.wikipedia.org/wiki/Archivo:Vincetoxicum_hirundinaria_inflorescence_1_AB.jpg,,,Cultivada,Europa,,
,268,Menta,Hierba,,Mentha Aquática,Lamiaceae,Referencia,https://colombia.inaturalist.org/taxa/77990-Mentha-aquatica,,,Cultivada,Europa,,
,269,Mermelada,Arbusto,"Trompetitas naranjas, Heliotropo amarillo",Streptosolen jamesonii,Solanaceae,Referencia,https://identify.plantnet.org/es/the-plant-list/species/Streptosolen%20jamesonii%20(Benth.)%20Miers/data,,,Nativa,"Ecuador, Perú, Colombia, Venezuela",,
,270,Metrosideros,Árbolito,Pomarroso rojo,Metrosideros excelsa Gaertn.,Myrtaceae,Referencia,https://colombia.inaturalist.org/taxa/60447-Metrosideros-polymorpha,,,Cultivada,Nueva Zelanda,,
,271,Mirasol de agua,Arbusto,Girasol de agua,Bidens laevis,Asteraceae,Referencia,https://colombia.inaturalist.org/taxa/75766-Bidens-laevis,,,Nativa,México a Argentina,,
,272,Mirto,Arbusto,Arrayán,Myrtus communis,Myrtaceae,Referencia,https://es.wikipedia.org/wiki/Archivo:Starr_080304-3229_Myrtus_communis.jpg,,,Cultivada,Andes,,
,273,Mona Lisa,Enredadera,Flor de espuela,Plectranthus zuluensis,Lamiaceae,Referencia,https://identify.plantnet.org/es/the-plant-list/species/Plectranthus%20zuluensis%20T.Cooke/data,,,Cultivada,Suráfrica,,
,274,Monina,Arbusto,,Monnina salicifolia ,Polygalaceae,Referencia,https://plantasdecolombia.com/tag/monnina/,,,Nativa,Colombia a Bolivia,,
,275,Mora de Castilla,Enredadera,,Rubus glaucus,Rosaceae,Referencia,https://colombia.inaturalist.org/taxa/63146-Rubus-glaucus,,,Nativa,Costa Rica a Bolivia,,
,276,Mortiño,Árbol  ,,Hesperomeles goudotiana,Rosaceae,Referencia,https://colombia.inaturalist.org/taxa/538414-Hesperomeles-goudotiana,,,Endémica,Andes Colombia,,
,277,Mulato,Árbol,Palo blanco,Ilex kunthiana,Aquifoliaceae,Referencia,https://plantasdecolombia.com/2014/11/07/ilex-kunthiana-aquifoliaceae/,,,Nativa,"Colombia, Venezuela",,
,278,Musgo birrete,Musgo,,Polytrichum juniperinum,Polytrichaceae,Referencia,https://colombia.inaturalist.org/taxa/67912-Polytrichum,,,Nativa,Andes,,
,279,Musgo ciprés,Musgo,,Hypnum cupressiforme,Hypnaceae,Referencia,https://colombia.inaturalist.org/taxa/241115-Hypnum-cupressiforme-cupressiforme,,,Nativa,Subcosmopolita,,
,280,Naranjito,Arbolito,Naranjo calamodín,Citrofortunella Mitis.,Rutaceae,Referencia,https://www.agromatica.es/calamondin/,,,Cultivada,"China, Filipinas",,C5
,281,Narciso,Hierba,Divja narcisa,Narcissus pseudonarcissus ,Amaryllidaceae,Referencia,https://www.miteco.gob.es/eu/biodiversidad/temas/inventarios-nacionales/iect_narcissus_pseudonarcissus_tcm35-164111.pdf,,,Cultivada,Europa,,
,282,Níspero,Arbusto,,Eriobotrya japonica,Rosaceae,Referencia,https://www.naturalista.mx/taxa/76949-Eriobotrya-japonica,,,Cultivada,Andes,,
,283,No me olvides,Hierba,,Myosotis stricta,Boraginaceae,Referencia,https://colombia.inaturalist.org/taxa/161415-Cynoglossum-amabile,,,Cultivada,Asia,,
,284,Nogal bogotano,Árbol,"Nogal, Cedro nogal
Cedro negro",Juglans neotropica,Juglandaceae,Referencia,https://catalogofloravalleaburra.eia.edu.co/species/257,,,Nativa,Andes,,
,285,Novio,Hierba,Novio enano,Pergalonium zonale,Geraniaceae,Referencia,https://nombrescomunes.jbb.gov.co/site/cientifico?q=Pelargonium+zonale,,,Cultivada,Suráfrica,,
,286,Novio negro,Hierba,Novio enano,Pergalonium zonale,Geraniaceae,Referencia,https://nombrescomunes.jbb.gov.co/site/cientifico?q=Pelargonium+zonale,,,Cultivada,Suráfrica,,
